Year,Region,Commodity,Distance,Function,Status,Num_employee,Employee_hour,Hours_office,Hours_operation,Hours_other,Safety_cost,Num_accidents
2020,14,1,0,1,4,2,2899.58,0,2899.58,0,3.1,0
2017,15,1,0,1,3,4,9647.75,2208.09,7439.66,0,1.59,0
2018,44,1,0,1,3,8,11985.53,2614.24,0,9371.28,1.37,0
2018,17,4,3.71,4,1,33,74773.73,0,74773.73,0,NA,7
2017,12,1,0,1,4,6,4352.38,1192.75,3159.63,0,2.69,0
2020,45,1,0,1,3,3,6714.82,0,6714.82,0,1.66,0
2020,18,1,0,1,3,2,2280.11,34.21,2245.9,0,2.35,0
2019,24,1,0,1,3,4,5343.16,4.01,0,5339.15,3.63,0
2018,35,1,0,1,3,3,6050.46,0,6050.46,0,2.29,0
2018,48,1,0,1,3,8,17634.19,2153.66,15480.53,0,NA,1
2018,16,1,0,1,3,9,18757.16,241.03,0,18516.13,NA,2
2020,26,3,0,4,4,3,437.39,0,437.39,0,3.88,0
2017,45,1,0,1,4,2,3351.28,0,3351.28,0,2.89,0
2018,45,1,0,1,6,3,2018.13,0,2018.13,0,3.03,0
2017,17,5,0,2,3,38,76096.81,8653,0,67443.81,0.53,4
2017,34,1,0,1,4,4,4715.05,159.83,4555.22,0,3.2,1
2018,15,1,0,1,3,8,16862.38,8136.46,8725.93,0,1.66,0
2018,47,1,0,1,4,2,451.65,0,451.65,0,3.41,0
2020,48,2,0,4,4,3,634.94,0,634.94,0,3.81,0
2018,17,4,4.26,2,2,401,1017464.8,0,0,1017464.8,NA,39
2017,10,5,0,4,3,118,243491.26,36296.93,34014.87,173179.45,0.75,3
2019,4,1,0,1,3,8,19710.52,0,19710.52,0,1.56,0
2019,23,1,0,1,4,2,351.65,0,351.65,0,2.52,0
2017,46,4,4.29,2,6,16,20995.96,0,0,20995.96,3.98,3
2019,38,5,0,4,4,11,24195.87,3393.98,20801.89,0,3.72,0
2020,44,5,0,4,3,23,62963.64,3127.78,59835.87,0,1.2,0
2020,5,1,0,1,3,36,88748.26,14965.24,60405.03,13378,1.87,0
2020,36,5,0,4,4,11,22517.02,170.05,22346.97,0,1.18,0
2018,17,4,3.43,4,1,7,21195.98,0,21195.98,0,3.42,2
2020,17,4,0,3,1,10,10847.97,0,0,10847.97,3.34,1
2020,38,5,0,4,3,2,3238.82,0,3238.82,0,1.36,0
2019,22,1,0,1,6,3,706.24,1,705.24,0,3.34,0
2017,43,5,0,4,3,20,33730.67,4438.75,29291.93,0,0.11,0
2019,2,4,3.61,4,1,34,68246.53,0,68246.53,0,3.03,0
2019,46,5,0,4,3,50,69908.85,42770.52,0,27138.33,0.76,0
2019,41,1,0,1,3,3,4245.24,31.97,0,4213.27,NA,0
2017,34,1,0,1,4,1,736.86,0,736.86,0,2.68,0
2018,44,5,0,4,4,5,1563.27,368.53,1194.74,0,0.66,0
2020,9,5,0,4,3,10,15898.51,74.93,4509.61,11313.98,0,0
2018,23,1,0,1,4,2,273.47,39.92,233.55,0,2.9,0
2019,22,1,0,1,4,15,7199.9,72.1,7127.81,0,1.94,2
2020,22,1,0,1,3,14,41787.52,2492.43,39295.09,0,2.24,0
2017,17,4,3.93,4,1,26,46846.31,1039.56,43937.54,1869.21,1.3,2
2017,3,5,0,4,3,9,20778.3,7903.58,12874.72,0,0.06,0
2020,43,5,0,4,6,1,16.72,0,16.72,0,3.18,0
2018,1,3,0,4,4,2,784.75,186.56,0,598.2,3.93,0
2020,43,5,0,4,3,16,38993.34,4047.59,32016.59,2929.15,0.32,0
2017,38,5,0,4,3,6,14039.08,936.34,6282.56,6820.18,0.1,0
2017,35,1,0,1,4,2,282.41,3.95,278.46,0,1.91,0
2020,37,5,0,4,3,14,27120.98,4815.75,22305.22,0,1.07,0
2017,15,5,0,3,3,16,32929.5,5788.14,0,27141.36,0.6,0
2018,35,1,0,1,3,6,12239.78,2078.77,10161.01,0,1.69,0
2017,46,1,0,1,3,12,28789.51,2541.69,26247.82,0,2.42,0
2019,44,1,0,1,3,24,57401.72,5535.39,0,51866.32,2.64,0
2017,44,5,0,4,3,118,326275.19,23586.23,84216.82,218472.13,0.36,0
2020,33,3,0,2,3,4,653.12,0,0,653.12,3.64,0
2017,24,5,0,4,3,34,66050.28,3932.02,14654.06,47464.2,0.72,0
2018,13,3,0,2,6,10,10212.27,2239.06,0,7973.21,3.69,0
2020,33,2,0,4,3,12,16111.1,5717.1,2488.48,7905.52,1.29,0
2018,5,1,0,1,3,7,9382.67,2119.93,7262.74,0,1.41,0
2020,34,1,0,1,6,3,3343.67,738.8,2604.87,0,2.97,0
2017,28,1,0,1,4,3,5841.86,0,5841.86,0,2.54,0
2018,45,5,0,4,3,108,217635.45,57370.12,20520.04,139745.29,0.66,0
2018,37,5,0,4,4,12,11417.84,2339.92,9077.92,0,1.13,4
2018,47,5,0,4,4,3,636.95,3.94,633.01,0,1.09,0
2019,18,1,0,1,3,7,17127.64,4,0,17123.64,3.86,0
2019,22,1,0,1,3,8,17676.69,2806.63,14870.05,0,1.61,0
2020,45,1,0,1,3,3,5246.19,0,5246.19,0,2.03,0
2020,17,4,0,3,1,8,22060.85,2399.66,0,19661.19,3.81,0
2018,29,1,0,1,4,3,1935.37,2.98,0,1932.39,2.89,0
2019,47,5,0,4,6,1,46.47,0,46.47,0,1.16,0
2020,23,1,0,1,4,2,1710.96,0,1710.96,0,2.59,0
2020,21,2,0,4,4,3,25.51,8.5,17.01,0,0.34,0
2019,38,4,3.43,4,7,1,41.74,0,0,41.74,0.12,0
2020,32,1,0,1,4,2,3585.47,1625.64,1959.83,0,2.7,0
2020,45,1,0,1,4,6,12053.24,2173.96,9879.28,0,1.54,2
2019,38,5,0,4,4,2,157.61,0,157.61,0,1.33,0
2019,45,1,0,1,3,4,8189.85,0,8189.85,0,1.55,0
2018,7,1,0,1,4,2,1085.29,0,1085.29,0,2.84,0
2018,24,5,0,4,3,9,17974.2,2024.59,13913.03,2036.59,0.08,0
2019,14,1,0,1,3,2,4749.6,1621.43,3128.18,0,1.79,0
2020,22,1,0,1,6,1,34.17,34.17,0,0,2.79,0
2017,5,1,0,1,6,6,8229.35,0,8229.35,0,3.3,0
2019,33,2,0,3,3,9,17973.01,5907.03,0,12065.98,NA,1
2019,26,3,0,4,3,366,774912.28,18719.81,378267.23,377925.23,3.55,5
2018,34,1,0,1,4,1,911.96,0,911.96,0,2.51,0
2020,44,1,0,1,3,20,60876.87,5299.9,55576.97,0,2.14,0
2020,37,1,0,1,3,4,4638.77,0,4638.77,0,1.67,0
2018,45,4,0,4,1,27,97132.48,0,97132.48,0,3.29,7
2019,24,5,0,4,3,149,309782.17,10399.77,48511.93,250870.47,0.62,5
2017,2,1,0,1,4,4,2299.6,0,2299.6,0,1.51,0
2019,35,1,0,1,4,2,3064.43,1014.12,2050.31,0,1.5,0
2018,48,5,0,4,4,1,402.72,0,0,402.72,0.5,0
2020,41,1,0,1,4,1,34.03,0,0,34.03,3,0
2017,36,5,0,4,3,46,73122.31,230.04,27884.69,45007.58,NA,3
2020,13,1,0,1,4,2,163.94,4.37,159.57,0,3.45,0
2020,5,5,0,4,3,5,7664.16,1616.04,6048.12,0,0.93,0
2020,43,5,0,4,4,8,5498.53,704.81,4793.72,0,1.37,0
2017,38,5,0,4,4,1,1578.92,0,1578.92,0,3.74,0
2019,38,1,0,1,3,11,25669.24,7722.06,17947.18,0,1.64,0
2020,38,5,0,4,6,3,6649.78,2173.87,4475.91,0,0.61,0
2019,12,1,0,1,4,3,2263.75,0,2263.75,0,2.26,0
2020,41,2,0,4,3,43,81596.88,6743.66,31389.42,43463.81,0.87,2
2020,27,1,0,1,6,4,170.57,10.03,160.54,0,3.61,0
2017,32,3,0,3,5,20,30764.6,4207.36,0,26557.24,3.54,0
2020,22,1,0,1,4,2,2271.02,0,2271.02,0,3.42,0
2020,5,5,0,4,3,19,23577.67,4903.63,18674.03,0,3.24,0
2017,34,5,0,4,4,12,33017.96,4048.24,28969.72,0,0.08,0
2020,5,2,0,4,3,10,21018.03,4327.8,4435.79,12254.43,0.68,0
2018,23,1,0,1,4,2,789.95,0,789.95,0,1.72,0
2020,9,2,0,3,3,8,16243.67,0,0,16243.67,1.23,2
2018,24,5,0,4,4,6,818.64,119.65,375.91,323.07,0.14,0
2020,38,5,0,4,3,15,35291.77,5719.96,0,29571.81,0.05,3
2019,24,5,0,4,4,2,47.9,14.61,0,33.29,0.51,0
2017,35,1,0,1,3,8,18274.19,3717.24,14556.94,0,2.13,1
2019,48,1,0,1,3,12,31493,2051.02,29441.97,0,1.73,0
